occupancy_date,occupancy,capacity
NA,0,0
NA,545,560
NA,778,888
NA,16,16
NA,2,2
NA,82,82
NA,42,42
NA,69,76
NA,205,210
NA,0,0
NA,113,152
NA,23,28
NA,142,252
NA,54,48
NA,160,110
NA,46,50
NA,34,34
NA,21,21
NA,74,74
NA,48,48
NA,110,90
NA,88,89
NA,65,65
NA,46,48
NA,100,100
NA,164,166
NA,40,42
NA,21,22
NA,20,20
NA,50,50
NA,33,40
NA,1,2
NA,50,50
NA,10,10
NA,13,13
NA,106,108
NA,56,56
NA,1,2
NA,93,94
NA,26,28
NA,9,9
NA,88,88
NA,51,51
NA,49,50
NA,40,40
NA,32,32
NA,1,1
NA,5,5
NA,9,11
NA,25,26
NA,36,37
NA,4,4
NA,40,40
NA,9,10
NA,60,60
NA,5,5
NA,70,70
NA,22,25
NA,86,90
NA,30,30
NA,58,63
NA,74,75
NA,40,43
NA,90,90
NA,100,106
NA,4,5
NA,81,83
NA,45,45
NA,40,40
NA,71,71
NA,16,20
NA,12,12
NA,22,22
NA,39,40
NA,6,6
NA,38,38
NA,30,30
NA,5,5
NA,61,61
NA,46,46
NA,4,4
NA,84,76
NA,94,94
NA,245,300
NA,9,9
NA,94,94
NA,4,4
NA,60,60
NA,12,12
NA,108,108
NA,44,45
NA,18,18
NA,290,290
NA,8,10
NA,60,60
NA,17,17
NA,34,34
NA,28,28
NA,19,19
NA,53,53
NA,12,13
NA,10,14
NA,34,35
NA,109,106
NA,40,40
NA,22,25
NA,31,31
NA,31,31
NA,35,35
NA,15,15
NA,33,33
NA,20,20
NA,10,10
NA,40,41
NA,0,0
NA,547,560
NA,768,888
NA,16,16
NA,2,2
NA,81,82
NA,40,42
NA,69,76
NA,205,210
NA,0,0
NA,113,152
NA,23,28
NA,153,252
NA,54,48
NA,159,110
NA,43,50
NA,21,21
NA,73,74
NA,48,48
NA,110,90
NA,88,89
NA,65,65
NA,46,48
NA,100,100
NA,164,166
NA,40,42
NA,21,22
NA,20,20
NA,50,50
NA,32,40
NA,1,2
NA,50,50
NA,10,10
NA,13,13
NA,106,108
NA,56,56
NA,1,2
NA,94,94
NA,26,28
NA,9,9
NA,88,88
NA,51,51
NA,50,50
NA,40,40
NA,32,32
NA,0,1
NA,5,5
NA,9,11
NA,25,26
NA,36,37
NA,4,4
NA,40,40
NA,10,10
NA,60,60
NA,5,5
NA,70,70
NA,25,25
NA,84,90
NA,30,30
NA,56,63
NA,75,75
NA,39,43
NA,90,90
NA,100,106
NA,4,5
NA,81,83
NA,45,45
NA,40,40
NA,70,71
NA,16,20
NA,12,12
NA,22,22
NA,39,40
NA,6,6
NA,36,38
NA,30,30
NA,5,5
NA,61,61
NA,46,46
NA,4,4
NA,84,76
NA,94,94
NA,236,300
NA,9,9
NA,93,94
NA,4,4
NA,60,60
NA,12,12
NA,108,108
NA,43,45
NA,18,18
NA,288,290
NA,7,10
NA,60,60
NA,17,17
NA,28,28
NA,45,45
NA,19,19
NA,53,53
NA,12,13
NA,10,14
NA,34,35
NA,109,106
NA,38,40
NA,22,25
NA,31,31
NA,31,31
NA,35,35
NA,14,15
NA,33,33
NA,20,20
NA,10,10
NA,40,41
NA,0,0
NA,542,560
NA,755,888
NA,16,16
NA,2,2
NA,81,82
NA,42,42
NA,69,76
NA,205,210
NA,0,0
NA,113,152
NA,23,28
NA,158,252
NA,54,48
NA,159,110
NA,43,50
NA,34,34
NA,21,21
NA,71,74
NA,47,48
NA,110,90
NA,88,89
NA,64,65
NA,45,48
NA,99,100
NA,160,166
NA,39,42
NA,21,22
NA,19,19
NA,50,50
NA,33,40
NA,1,2
NA,50,50
NA,10,10
NA,13,13
NA,105,108
NA,56,56
NA,1,2
