organization_name,shelter_name,sector,occupancy
COSTI Immigrant Services,COSTI Reception Centre,Women,0
COSTI Immigrant Services,COSTI Reception Centre,Families,545
COSTI Immigrant Services,COSTI Reception Centre,Families,778
COSTI Immigrant Services,COSTI Reception Centre,Co-ed,16
COSTI Immigrant Services,COSTI Reception Centre,Women,2
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Families,69
City of Toronto,Birkdale Residence,Families,205
City of Toronto,Birkdale Residence,Families,0
City of Toronto,Birkdale Residence,Families,113
City of Toronto,Family Residence,Families,142
City of Toronto,Family Residence,Families,54
City of Toronto,Family Residence,Families,160
City of Toronto,Family Residence,Families,46
City of Toronto,Fort York Residence,Co-ed,34
City of Toronto,Robertson House,Families,110
City of Toronto,Streets To Homes,Co-ed,33
City of Toronto,Women's Residence,Co-ed,50
City of Toronto,Women's Residence,Women,10
City of Toronto,Women's Residence,Women,13
City of Toronto,Women's Residence,Women,106
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,9
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,88
Fife House Foundation,Fife House Transitional Program,Co-ed,5
Fife House Foundation,Fife House Transitional Program,Co-ed,9
Fred Victor Centre,FV Women's Transition to Housing,Women,25
Fred Victor Centre,FV Women's Transition to Housing,Women,36
Fred Victor Centre,Fred Victor Women's Hostel,Women,4
Fred Victor Centre,Fred Victor Women's Hostel,Women,40
Fred Victor Centre,"Fred Victor, BUS",Co-ed,9
Fred Victor Centre,"Fred Victor, BUS",Co-ed,60
Homes First Society,HFS - Kennedy Shelter,Women,86
Homes First Society,HFS - Savard's Womens' Shelter,Women,30
Homes First Society,HFS - Scarborough Shelter,Women,58
Homes First Society,HFS - Scarborough Shelter,Co-ed,90
Homes First Society,HFS - Scarborough Shelter,Co-ed,100
Homes First Society,HFS - Strachan House,Co-ed,4
Homes First Society,HFS - Strachan House,Co-ed,81
Society of St.Vincent De Paul,SVDP - Amelie House,Women,22
Society of St.Vincent De Paul,SVDP - Elisa House,Women,39
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,6
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,38
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,Women,30
Street Haven At The Crossroads,Street Haven,Women,46
Street Haven At The Crossroads,Street Haven,Women,4
The MUC Shelter Corporation,Sojourn House,Families,84
The MUC Shelter Corporation,Sojourn House,Co-ed,94
The MUC Shelter Corporation,Sojourn House,Families,245
The Salvation Army of Canada,Salvation Army - Evangeline Res,Women,9
The Salvation Army of Canada,Salvation Army - Evangeline Res,Women,94
The Salvation Army of Canada,Salvation Army - Florence Booth,Women,4
The Salvation Army of Canada,Salvation Army - Florence Booth,Women,60
The Salvation Army of Canada,Salvation Army Islington Seniors,Women,17
City of Toronto,Fort York Residence,Co-ed,34
Toronto Community Hostel,Toronto Community Hostel,Co-ed,12
Toronto Community Hostel,Toronto Community Hostel,Families,10
WoodGreen Red Door Family Shelter,Red Door Queen Street,Families,109
YWCA Toronto,YWCA - First Stop Woodlawn,Women,31
YWCA Toronto,YWCA-348 Davenport,Women,35
YouthLink,YouthLink Shelter,Co-ed,10
YouthLink,YouthLink Shelter,Co-ed,40
COSTI Immigrant Services,COSTI Reception Centre,Women,0
COSTI Immigrant Services,COSTI Reception Centre,Families,547
COSTI Immigrant Services,COSTI Reception Centre,Families,768
COSTI Immigrant Services,COSTI Reception Centre,Co-ed,16
COSTI Immigrant Services,COSTI Reception Centre,Women,2
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Families,69
City of Toronto,Birkdale Residence,Families,205
City of Toronto,Birkdale Residence,Families,0
City of Toronto,Birkdale Residence,Families,113
City of Toronto,Family Residence,Families,153
City of Toronto,Family Residence,Families,54
City of Toronto,Family Residence,Families,159
City of Toronto,Family Residence,Families,43
City of Toronto,Robertson House,Families,110
City of Toronto,Streets To Homes,Co-ed,32
City of Toronto,Women's Residence,Co-ed,50
City of Toronto,Women's Residence,Women,10
City of Toronto,Women's Residence,Women,13
City of Toronto,Women's Residence,Women,106
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,9
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,88
Fife House Foundation,Fife House Transitional Program,Co-ed,5
Fife House Foundation,Fife House Transitional Program,Co-ed,9
Fred Victor Centre,FV Women's Transition to Housing,Women,25
Fred Victor Centre,FV Women's Transition to Housing,Women,36
Fred Victor Centre,Fred Victor Women's Hostel,Women,4
Fred Victor Centre,Fred Victor Women's Hostel,Women,40
Fred Victor Centre,"Fred Victor, BUS",Co-ed,10
Fred Victor Centre,"Fred Victor, BUS",Co-ed,60
Homes First Society,HFS - Kennedy Shelter,Women,84
Homes First Society,HFS - Savard's Womens' Shelter,Women,30
Homes First Society,HFS - Scarborough Shelter,Women,56
Homes First Society,HFS - Scarborough Shelter,Co-ed,90
Homes First Society,HFS - Scarborough Shelter,Co-ed,100
Homes First Society,HFS - Strachan House,Co-ed,4
Homes First Society,HFS - Strachan House,Co-ed,81
Society of St.Vincent De Paul,SVDP - Amelie House,Women,22
Society of St.Vincent De Paul,SVDP - Elisa House,Women,39
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,6
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,36
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,Women,30
Street Haven At The Crossroads,Street Haven,Women,46
Street Haven At The Crossroads,Street Haven,Women,4
The MUC Shelter Corporation,Sojourn House,Families,84
The MUC Shelter Corporation,Sojourn House,Co-ed,94
The MUC Shelter Corporation,Sojourn House,Families,236
The Salvation Army of Canada,Salvation Army - Evangeline Res,Women,9
The Salvation Army of Canada,Salvation Army - Evangeline Res,Women,93
The Salvation Army of Canada,Salvation Army - Florence Booth,Women,4
The Salvation Army of Canada,Salvation Army - Florence Booth,Women,60
The Salvation Army of Canada,Salvation Army Islington Seniors,Women,17
Toronto Community Hostel,Toronto Community Hostel,Co-ed,12
Toronto Community Hostel,Toronto Community Hostel,Families,10
WoodGreen Red Door Family Shelter,Red Door Queen Street,Families,109
YWCA Toronto,YWCA - First Stop Woodlawn,Women,31
YWCA Toronto,YWCA-348 Davenport,Women,35
YouthLink,YouthLink Shelter,Co-ed,10
YouthLink,YouthLink Shelter,Co-ed,40
COSTI Immigrant Services,COSTI Reception Centre,Women,0
COSTI Immigrant Services,COSTI Reception Centre,Families,542
COSTI Immigrant Services,COSTI Reception Centre,Families,755
COSTI Immigrant Services,COSTI Reception Centre,Co-ed,16
COSTI Immigrant Services,COSTI Reception Centre,Women,2
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Families,69
City of Toronto,Birkdale Residence,Families,205
City of Toronto,Birkdale Residence,Families,0
City of Toronto,Birkdale Residence,Families,113
City of Toronto,Family Residence,Families,158
City of Toronto,Family Residence,Families,54
City of Toronto,Family Residence,Families,159
City of Toronto,Family Residence,Families,43
City of Toronto,Fort York Residence,Co-ed,34
City of Toronto,Robertson House,Families,110
City of Toronto,Streets To Homes,Co-ed,33
City of Toronto,Women's Residence,Co-ed,50
City of Toronto,Women's Residence,Women,10
City of Toronto,Women's Residence,Women,13
City of Toronto,Women's Residence,Women,105
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,9
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,88
Fife House Foundation,Fife House Transitional Program,Co-ed,5
Fife House Foundation,Fife House Transitional Program,Co-ed,9
Fred Victor Centre,FV Women's Transition to Housing,Women,25
Fred Victor Centre,FV Women's Transition to Housing,Women,36
Fred Victor Centre,Fred Victor Women's Hostel,Women,4
Fred Victor Centre,Fred Victor Women's Hostel,Women,40
Fred Victor Centre,"Fred Victor, BUS",Co-ed,9
Fred Victor Centre,"Fred Victor, BUS",Co-ed,60
Homes First Society,HFS - Kennedy Shelter,Women,88
Homes First Society,HFS - Savard's Womens' Shelter,Women,30
Homes First Society,HFS - Scarborough Shelter,Women,55
Homes First Society,HFS - Scarborough Shelter,Co-ed,90
Homes First Society,HFS - Scarborough Shelter,Co-ed,100
Homes First Society,HFS - Strachan House,Co-ed,4
Homes First Society,HFS - Strachan House,Co-ed,81
Society of St.Vincent De Paul,SVDP - Amelie House,Women,22
Society of St.Vincent De Paul,SVDP - Elisa House,Women,38
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,6
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,37
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,Women,30
Street Haven At The Crossroads,Street Haven,Women,45
Street Haven At The Crossroads,Street Haven,Women,3
The MUC Shelter Corporation,Sojourn House,Families,84
The MUC Shelter Corporation,Sojourn House,Co-ed,93
The MUC Shelter Corporation,Sojourn House,Families,234
The Salvation Army of Canada,Salvation Army - Evangeline Res,Women,9
The Salvation Army of Canada,Salvation Army - Evangeline Res,Women,93
The Salvation Army of Canada,Salvation Army - Florence Booth,Women,4
The Salvation Army of Canada,Salvation Army - Florence Booth,Women,56
The Salvation Army of Canada,Salvation Army Islington Seniors,Women,17
Toronto Community Hostel,Toronto Community Hostel,Co-ed,12
Toronto Community Hostel,Toronto Community Hostel,Families,10
WoodGreen Red Door Family Shelter,Red Door Queen Street,Families,109
YWCA Toronto,YWCA - First Stop Woodlawn,Women,31
YWCA Toronto,YWCA-348 Davenport,Women,35
YouthLink,YouthLink Shelter,Co-ed,10
YouthLink,YouthLink Shelter,Co-ed,40
COSTI Immigrant Services,COSTI Reception Centre,Women,0
COSTI Immigrant Services,COSTI Reception Centre,Families,534
COSTI Immigrant Services,COSTI Reception Centre,Families,760
COSTI Immigrant Services,COSTI Reception Centre,Co-ed,16
COSTI Immigrant Services,COSTI Reception Centre,Women,2
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Families,69
City of Toronto,Birkdale Residence,Families,203
City of Toronto,Birkdale Residence,Families,0
City of Toronto,Birkdale Residence,Families,113
City of Toronto,Family Residence,Families,158
City of Toronto,Family Residence,Families,54
City of Toronto,Family Residence,Families,155
City of Toronto,Family Residence,Families,43
City of Toronto,Fort York Residence,Co-ed,34
City of Toronto,Robertson House,Families,110
City of Toronto,Streets To Homes,Co-ed,33
City of Toronto,Women's Residence,Co-ed,50
City of Toronto,Women's Residence,Women,10
City of Toronto,Women's Residence,Women,13
City of Toronto,Women's Residence,Women,105
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,9
Dixon Hall,Dixon Hall - Heyworth House,Co-ed,88
Fife House Foundation,Fife House Transitional Program,Co-ed,5
Fife House Foundation,Fife House Transitional Program,Co-ed,9
Fred Victor Centre,FV Women's Transition to Housing,Women,25
Fred Victor Centre,FV Women's Transition to Housing,Women,35
Fred Victor Centre,Fred Victor Women's Hostel,Women,4
Fred Victor Centre,Fred Victor Women's Hostel,Women,40
Fred Victor Centre,"Fred Victor, BUS",Co-ed,10
Fred Victor Centre,"Fred Victor, BUS",Co-ed,60
Homes First Society,HFS - Kennedy Shelter,Women,90
Homes First Society,HFS - Savard's Womens' Shelter,Women,30
Homes First Society,HFS - Scarborough Shelter,Women,58
Homes First Society,HFS - Scarborough Shelter,Co-ed,90
Homes First Society,HFS - Scarborough Shelter,Co-ed,100
Homes First Society,HFS - Strachan House,Co-ed,4
Homes First Society,HFS - Strachan House,Co-ed,81
Society of St.Vincent De Paul,SVDP - Amelie House,Women,22
Society of St.Vincent De Paul,SVDP - Elisa House,Women,40
Society of St.Vincent De Paul,SVDP - Mary's Home,Women,6
